"id";"name";"GreenTea";"BlackTea";"OolongTea";"BuckwheatTea";"Time"
2;"111";2;2;2;2;"2025-02-13 07:27:44"
3;"111";0;1;0;0;"2025-02-13 09:29:53"
4;"111";0;10;0;0;"2025-02-13 09:31:11"
5;"111";0;0;0;5;"2025-02-13 10:36:56"
6;"111";0;20;0;0;"2025-02-13 10:49:56"
7;"111";0;20;0;0;"2025-02-13 10:53:30"
8;"111";0;0;0;10;"2025-02-13 10:56:16"
9;"111";0;22;0;0;"2025-02-13 11:00:05"
10;"111";0;0;0;12;"2025-02-13 11:02:11"
11;"111";0;1;0;0;"2025-02-13 11:28:00"
12;"111";0;10;0;0;"2025-02-13 11:36:44"
13;"111";0;10;0;0;"2025-02-13 11:39:13"
14;"111";0;10;0;0;"2025-02-13 11:41:32"
15;"111";0;10;0;0;"2025-02-13 11:44:37"
16;"111";0;10;0;0;"2025-02-13 14:42:22"
17;"111";10;0;0;0;"2025-02-13 14:46:40"
18;"111";0;10;0;0;"2025-02-13 15:00:18"
19;"111";0;15;0;0;"2025-02-13 15:15:53"
20;"111";0;0;0;16;"2025-02-13 15:19:03"
21;"111";12;0;0;0;"2025-02-13 15:21:30"
22;"111";0;16;0;0;"2025-02-13 15:24:10"
23;"111";12;0;0;0;"2025-02-13 15:30:33"
24;"111";0;15;0;0;"2025-02-13 15:35:40"
